name,latitude,longitude,description,city
Читалнята,42.6936,23.3180,"Independent reading room and cultural meeting place focused on books, talks and community events","Sofia"
Mahala Bookstore,42.6972,23.3240,"Independent bookstore emphasizing small publishers, critical thought and alternative culture","Sofia"
Culture Lab.,42.6950,23.3305,"Cultural laboratory space hosting exhibitions, discussions, screenings and performances","Sofia"
Nissim Bookstore,42.6941,23.3199,"Bookstore known for curated literature, philosophy and social sciences","Sofia"
FOX Book Café,42.6916,23.3189,"Bookstore café combining books, coffee, wine and cultural events","Sofia"
Дюкян Меломан,42.6937,23.3298,"Legendary record shop for vinyl, CDs and audio equipment near central Sofia","Sofia"
matzalo,42.6985,23.3222,"Creative studio and shop focused on illustration, art objects and zines","Sofia"
Вино и Музика,42.6954,23.3317,"Wine bar and cultural venue combining music, tastings and events","Sofia"
Листопаден арт базар,42.6949,23.3211,"Seasonal art bazaar promoting local artists, crafts and independent creators","Sofia"
Слънчоглед,42.6968,23.3185,"Cultural café and alternative space popular for discussions and gatherings","Sofia"
Vivent,42.6929,23.3270,"Creative and social space focused on urban culture and artistic initiatives","Sofia"
Културен център G8,42.6952,23.3329,"Independent cinema and cultural center hosting film screenings and discussions","Sofia"
Фондация Даная,42.6905,23.3208,"Foundation working in the fields of culture, education and social engagement","Sofia"
Централни хали,42.6977,23.3219,"Historic central market hall and public cultural landmark in Sofia","Sofia"
Галерия HERITAGE,42.6940,23.3257,"Art gallery showcasing contemporary and heritage-inspired exhibitions","Sofia"
Vineria Wine Bar&Shop,42.6959,23.3279,"Wine bar and shop offering curated selections and tastings","Sofia"
Kolichka Bar,42.6933,23.3246,"Bar and social space supporting cultural and community events","Sofia"
Топлоцентрала,42.6766,23.3076,"Contemporary art and culture center in a former heating plant","Sofia"
Brave creation,42.6957,23.3238,"Creative studio and shop supporting independent designers and makers","Sofia"
Punto art bazaar,42.6946,23.3192,"Art bazaar and creative market space for independent artists","Sofia"
Cake Lab,42.6964,23.3230,"Artisanal dessert shop combining pastry craft and modern design","Sofia"
Tandir Bakehouse,42.6878,23.3155,"Artisan bakery inspired by traditional baking techniques","Sofia"
Народно читалище Михаил Гелев-1926,42.7600,23.4300,"Community cultural center serving the Chelopechene neighborhood","Sofia"
Междууниверситетски център за развитие на кариерата на УНСС,42.6549,23.3503,"Inter-university career development center linked to UNWE","Sofia"
Народна библиотека Иван Вазов,42.1354,24.7453,"Major public library and cultural institution in Plovdiv","Plovdiv"
Бар Железарията,42.1505,24.7489,"Alternative bar and cultural hangout in Kapana district","Plovdiv"
Arsenal of Art Gallery,42.1501,24.7496,"Contemporary art gallery and cultural venue in Plovdiv","Plovdiv"
Snack! Specialty Coffee,42.1509,24.7480,"Specialty coffee shop focused on quality brews and urban culture","Plovdiv"
Американски университет,42.0187,23.0987,"American University in Bulgaria campus and cultural hub","Blagoevgrad"
Samurai Specialty Coffeeshop,43.0787,25.6276,"Specialty coffee shop with minimalist aesthetic in Veliko Tarnovo","Veliko Tarnovo"
Relive - Thrift shop,42.4258,25.6345,"Second-hand and vintage shop promoting sustainable fashion","Stara Zagora"
Книжарница в Куфар,42.4253,25.6328,"Independent bookstore and cultural initiative in a mobile format","Stara Zagora"
Художествена галерия Казанлък,42.6190,25.3935,"Municipal art gallery featuring Bulgarian and local artists","Kazanlak"
Школа Дедал,43.2141,27.9147,"Creative school and cultural space in Varna","Varna"
Социалната Чайна,43.2086,27.9187,"Social tea house and cultural space supporting community initiatives","Varna"
Campus 90,43.2120,27.9173,"Youth-oriented cultural and educational space","Varna"
Регионална библиотека Пейо Яворов,42.5048,27.4626,"Regional public library and cultural center in Burgas","Burgas"
Регионална библиотека Проф. Боян Пенев,43.5272,26.5231,"Regional library serving Razgrad and the surrounding area","Razgrad"
Регионална библиотека Стилиян Чилингиров,43.2714,26.9226,"Major regional library and cultural institution in Shumen","Shumen"
Пашкул,43.9896,22.8720,"Art shop and gallery supporting local creators in Vidin","Vidin"
Исторически музей Бяла,42.8742,27.8886,"Local history museum preserving regional heritage","Byala"
Общинска библиотека Елин Пелин,42.6675,23.6034,"Municipal library and community cultural center","Elin Pelin"
